list,rank,goodreads_work_id,title,author,chance,model,why,n_ratings,known,crowd_place,by_taste,crowd_z,taste_z
bold,3,2574991,East of Eden,John Steinbeck,,204527c369e5bede02c608977df9ddb6,,,,,,,
bold,4,3393910,The Brothers Karamazov,Fyodor Dostoyevsky,,204527c369e5bede02c608977df9ddb6,,,,,,,
bold,5,41364467,Hard to Be a God,Arkady Strugatsky,,204527c369e5bede02c608977df9ddb6,,,,,,,
bold,6,2207778,Animal Farm,George Orwell,,204527c369e5bede02c608977df9ddb6,,,,,,,
bold,7,1172473,Like Water for Chocolate,Laura Esquivel,,204527c369e5bede02c608977df9ddb6,,,,,,,
bold,8,153313,1984,George Orwell,,204527c369e5bede02c608977df9ddb6,,,,,,,
bold,9,18160093,1Q84,Haruki Murakami,,204527c369e5bede02c608977df9ddb6,,,,,,,
bold,10,16827462,The Fault in Our Stars,John Green,,204527c369e5bede02c608977df9ddb6,,,,,,,
bold,11,1243896,Roadside Picnic,Arkady Strugatsky,,204527c369e5bede02c608977df9ddb6,,,,,,,
bold,12,3285349,Love in the Time of Cholera,Gabriel Garcia Marquez,,204527c369e5bede02c608977df9ddb6,,,,,,,
bold,13,3036731,The Catcher in the Rye,J.D. Salinger,,204527c369e5bede02c608977df9ddb6,,,,,,,
bold,14,2531870,Hard-Boiled Wonderland and the End of the World,Haruki Murakami,,204527c369e5bede02c608977df9ddb6,,,,,,,
bold,15,3346751,"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,,204527c369e5bede02c608977df9ddb6,,,,,,,
bold,16,69741,The Old Man and the Sea,Ernest Hemingway,,204527c369e5bede02c608977df9ddb6,,,,,,,
bold,17,2977639,Jane Eyre,Charlotte Bronte,,204527c369e5bede02c608977df9ddb6,,,,,,,
bold,18,1272463,Fahrenheit 451,Ray Bradbury,,204527c369e5bede02c608977df9ddb6,,,,,,,
bold,19,166902,A Hero of Our Time,Mikhail Lermontov,,204527c369e5bede02c608977df9ddb6,,,,,,,
bold,20,3356006,The Odyssey,Homer,,204527c369e5bede02c608977df9ddb6,,,,,,,
