list,rank,goodreads_work_id,title,author,chance,model,why,n_ratings,known,crowd_place,by_taste,crowd_z,taste_z
bold,2,3204877,Brave New World,Aldous Huxley,,18a974459d312aa53c7e3232b8a12df7,,,,,,,
bold,3,2574991,East of Eden,John Steinbeck,,18a974459d312aa53c7e3232b8a12df7,,,,,,,
bold,4,3275794,To Kill a Mockingbird,Harper Lee,,18a974459d312aa53c7e3232b8a12df7,,,,,,,
bold,5,2370171,How to Win Friends and Influence People,Dale Carnegie,,18a974459d312aa53c7e3232b8a12df7,,,,,,,
bold,6,45087110,Homo Deus: A Brief History of Tomorrow,Yuval Noah Harari,,18a974459d312aa53c7e3232b8a12df7,,,,,,,
bold,7,4835472,The Alchemist,Paulo Coelho,,18a974459d312aa53c7e3232b8a12df7,,,,,,,
bold,8,6277,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,,18a974459d312aa53c7e3232b8a12df7,,,,,,,
bold,9,93900,Letters from a Stoic,Seneca,,18a974459d312aa53c7e3232b8a12df7,,,,,,,
bold,10,3230869,Misery,Stephen King,,18a974459d312aa53c7e3232b8a12df7,,,,,,,
bold,11,1840987,As a Man Thinketh,James Allen,,18a974459d312aa53c7e3232b8a12df7,,,,,,,
bold,12,347061,The Greatest Salesman in the World,Og Mandino,,18a974459d312aa53c7e3232b8a12df7,,,,,,,
bold,13,150259,It,Stephen King,,18a974459d312aa53c7e3232b8a12df7,,,,,,,
bold,14,2949952,White Fang,Jack London,,18a974459d312aa53c7e3232b8a12df7,,,,,,,
bold,15,746042,The Magic of Thinking Big,David J. Schwartz,,18a974459d312aa53c7e3232b8a12df7,,,,,,,
bold,16,13155899,"Divergent (Divergent, #1)",Veronica Roth,,18a974459d312aa53c7e3232b8a12df7,,,,,,,
bold,17,195832,The Pearl,John Steinbeck,,18a974459d312aa53c7e3232b8a12df7,,,,,,,
bold,18,3252320,The Call of the Wild,Jack London,,18a974459d312aa53c7e3232b8a12df7,,,,,,,
bold,19,3389674,Man's Search for Meaning,Viktor E. Frankl,,18a974459d312aa53c7e3232b8a12df7,,,,,,,
bold,20,165384,Arch of Triumph: A Novel of a Man Without a Country,Erich Maria Remarque,,18a974459d312aa53c7e3232b8a12df7,,,,,,,
